gene 	 shG9a_E2-
61E3.4 	 0
7SK 	 20
5S_rRNA 	 0
MT-CO1 	 233478
MIR4485 	 200114
MT-CO2 	 149262
MT-ND4 	 138808
RNA28S5 	 200410
MT-CO3 	 90746
EEF2 	 184345
MT-ATP6 	 94179
MT-ND5 	 98303
MT-CYB 	 76416
H3F3B 	 88902
hsa-mir-6723 	 44128
EEF1A1P5 	 35345
MT-ND2 	 60576
J01415.23 	 33530
KRT8 	 31537
SCD 	 61395
RPL13 	 48983
KRT18 	 40377
MT-ND1 	 34162
MYH9 	 138800
GAPDH 	 70390
APPBP2 	 65979
RPL41P1 	 28617
NUCKS1 	 51088
HSPA5 	 60390
CCND1 	 23428
EEF1A1 	 12490
MT-ND6 	 29681
TMSB10 	 49292
TPT1 	 40823
FASN 	 41414
TACSTD2 	 101381
MT-ND4L 	 19731
RPS21 	 32374
LGALS3BP 	 74731
CD24P4 	 67268
RHOBTB3 	 26296
USP32 	 44614
RPS11 	 27217
TUBB4B 	 38148
ISG15 	 62099
AHNAK 	 47301
RPS7 	 20158
FTL 	 28228
IRS1 	 29598
RP5-857K21.10 	 8954
DYNLL2 	 33410
MARCKSL1 	 20905
RPL12 	 11905
MED13 	 36677
RHOB 	 24849
TBC1D9 	 30878
MT-ATP8 	 19097
NRAS 	 45041
RPS5 	 24828
CACNG4 	 70176
RPS19 	 28282
CALR 	 36956
YWHAG 	 42870
NBPF20 	 186
TMSB4X 	 51387
THBS1 	 56569
GRN 	 29330
PCBP1 	 21600
EIF4B 	 19259
UBL3 	 19304
KRT19 	 25116
LINC00657 	 34024
PARD6B 	 17588
RPL10 	 17034
MCL1 	 28622
HSPB8 	 15654
RPS2 	 275
BAG3 	 17631
RP11-346D14.1 	 9316
LARP1 	 23131
PAK2 	 24400
OAS3 	 30777
RPS6KB1 	 25609
CXCR7 	 9819
ARHGAP35 	 27341
CFL1 	 41273
MT-ND3 	 19820
CTD-2165H16.1 	 3650
RPS14 	 20452
NBPF10 	 126
DDX21 	 12099
HEATR6 	 22879
SPTSSB 	 29390
MTND2P28 	 8476
CAPNS1 	 21854
EEF1A1P11 	 467
SLC25A6 	 15286
PPP1R15B 	 18140
HSPB1 	 42838
HNRNPA0 	 15120
SLC39A6 	 17155
EEF1A1P19 	 417
RP3-377D14.1 	 30
MMP16 	 14158
LAPTM4B 	 12819
STC2 	 13660
CYP1B1 	 6882
PERP 	 28608
RP11-122C9.1 	 1584
MYL6 	 25519
ATXN7L3B 	 14960
GNAS 	 14545
KB-1208A12.3 	 12783
ACTB 	 9929
LDOC1 	 13897
TSPYL1 	 16769
C6orf62 	 16988
RAC1 	 22683
TUG1 	 16593
RPS17L 	 10000
LRRC59 	 17111
RP5-857K21.11 	 6139
RPS17 	 9725
PTPLB 	 25564
DDX3X 	 17224
RPS15 	 12002
PAWR 	 24006
LINC00052 	 15893
RPL37A 	 16515
DYNC1H1 	 28563
HIST2H2AA3 	 8034
KIF5B 	 20335
RNF114 	 18848
RPL27 	 17334
MED13L 	 13308
HIST2H2BE 	 22712
ADIPOR2 	 13676
RPS27 	 553
RPLP0 	 9197
RPL7A 	 9954
TOMM20 	 11505
TRIM33 	 15872
RPS3 	 14019
GNA13 	 17801
RPL15 	 9139
HIST2H2AA4 	 6985
PANK3 	 19794
ALDOA 	 30304
RPL6 	 4166
RPL8 	 14905
H1F0 	 11472
TAF7 	 13831
RPL36AL 	 16576
PGAM1 	 12127
NUFIP2 	 17904
EPPK1 	 51412
STAT1 	 16710
SYNGR2 	 14213
H3F3AP4 	 7821
TOP1 	 18356
RPS25 	 15199
RPLP1 	 12637
ARF3 	 16375
RPL36A 	 11534
IFITM3 	 13080
MAPK6 	 14596
JAK1 	 17747
hsa-mir-3654 	 7786
HMGN2 	 9652
NACC1 	 16597
GNB2L1 	 10933
GPRC5A 	 47855
